Text Availability,Type of article,S No.,Owner,Title,Author,Author,Author,Author,Author,Author,Author,Author,Author,Author,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Journal Title,Source,Article Identifier,Other ID,Vol. No,Issue,Pagination,Date Of Publication,Location Identifier,Abstract,Grant Number,Grant Number
,,66,ERIC,Connecting Plans to Action: The Effects of a Card-Coded Robotics Curriculum and Activities on Korean Kindergartners,"Nam, Ki Won","Kim, Hye Jeong","Lee, Suyoun",,,,,,,,Kindergarten,Robotics,Problem Solving,Thinking Skills,Intervention,Mathematics Instruction,Comparative Analysis,Curriculum Design,Teaching Methods,Learning Activities,Instructional Effectiveness,Foreign Countries,,,,,,,,,,,,,,,Asia-Pacific Education Researcher,v28 n5 p387-397 Oct 2019,http://dx.doi.org/10.1007/s40299-019-00438-4,EJ1227977,28,5,387-397,43739,http://eric.ed.gov/?id=EJ1227977,"This study examined the effects of a card-coded robotics curriculum and associated activities on kindergarteners' sequencing and problem-solving skills, which are forms of computational thinking. Kindergarteners participated in card-coded programming using a robot called TurtleBot. A card-coded robot curricular intervention was also designed to enhance their planning behaviors using complementary tools. This study examined an 8-week robotic curricular intervention through assessment of 53 participants ranging in age from 5 to 6, while also evaluating sequencing and mathematical problem-solving in both the treatment and comparison groups. It was found that children in the treatment group who engaged in the card-coded robotic curricular intervention performed better on sequencing and problem-solving tests. This finding indicates that an enhanced planning experience using card-coded robots was beneficial for improving young children's thinking skills. The implications for designing appropriate curricula using robots for kindergarteners are addressed.",,
,,67,ERIC,Implementation Fidelity for Math Intervention: Basic Quality Ratings to Supplement Adherence,"Nelson, Peter M.","Pulles, Sandra M.","Parker, David C.","Klaft, Jenna",,,,,,,Fidelity,Intervention,Program Implementation,Mathematics Instruction,Mathematics Achievement,Learner Engagement,Elementary School Mathematics,Middle School Mathematics,Elementary School Students,Middle School Students,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,,,,,,,,,,,,School Psychology,v35 n1 p72-79 Jan 2020,http://dx.doi.org/10.1037/spq0000338,EJ1239065,35,1,72-79,43831,http://eric.ed.gov/?id=EJ1239065,"Although it is common for researchers to assess implementation fidelity (IF) within the context of math intervention, IF assessments are often restricted to intervention adherence. Further, the degree to which IF influences observed outcomes is commonly ignored. The current study examined the relationship between three aspects of IF and the math performance of 1,340 grade 4 through 8 students who participated in an evidence-based math intervention. A series of multilevel regression models were fit to the data, including a final model with an indicator of intervention adherence, intervention delivery quality, and intervention engagement. A significant and positive association was observed between students' math performance and intervention engagement; however, a similar relationship was not observed when examining the impact of adherence and the quality of intervention delivery on students' math performance. Results are discussed in the context of implementation research for educational interventions.",,
,,68,ERIC,An Examination of the Promise of the NumberShire Level 1 Gaming Intervention for Improving Student Mathematics Outcomes,"Fien, Hank","Doabler, Christian T.","Nelson, Nancy J.","Kosty, Derek B.","Clarke, Ben","Baker, Scott K.",,,,,Mathematics Instruction,Grade 1,Elementary School Students,At Risk Students,Learning Problems,Intervention,Technology Uses in Education,Educational Technology,Randomized Controlled Trials,Number Concepts,Mathematics Skills,Program Effectiveness,Conventional Instruction,Individualized Instruction,English Language Learners,Hypothesis Testing,Response to Intervention,Pretests Posttests,Statistical Analysis,,,,,,,,Journal of Research on Educational Effectiveness,v9 n4 p635-661 2016,http://dx.doi.org/10.1080/19345747.2015.1119229,EJ1115268,9,4,635-661,2016,http://eric.ed.gov/?id=EJ1115268,"The purpose of this study was to test the promise of the NumberShire Level 1 Gaming Intervention (NS1) to accelerate math learning for first-grade students with or at risk for math difficulties. The NS1 intervention was developed through the Institute of Education Sciences, Small Business Innovation Research Program (Gause, Fien, Baker, & Clarke, 2011) as a digitally based technology tool to allow educators to intervene early and strategically with students struggling to learn mathematics. This study used a randomized controlled trial design to test the promise of the NS1 intervention. In total, 250 first-grade students were randomly assigned within classrooms to the treatment condition or a control condition. Results indicate significant effects favoring the treatment group on proximal measures of whole-number concepts and skills. Intervention effects were not statistically significant for distal outcome measures. Treatment effects were not moderated by special education or English learner status; however, the condition by initial skill level interaction approached significance. Additionally, there was no relationship between dosage variables and students' response to the intervention. Limitations and future directions for research are discussed.",EDIES11C0026,
,,69,ERIC,Testing the Efficacy of a Tier 2 Mathematics Intervention: A Conceptual Replication Study,"Doabler, Christian T.","Clarke, Ben","Kosty, Derek B.","Kurtz-Nelson, Evageline","Fien, Hank","Smolkowski, Keith","Baker, Scott K.",,,,Mathematics,Mathematics Achievement,Randomized Controlled Trials,Outcome Measures,Intervention,Statistical Analysis,Kindergarten,Mathematics Instruction,Pretests Posttests,Achievement Tests,Grade 1,Standardized Tests,Mathematics Tests,Experimental Groups,Control Groups,,,,,,,,,,,,Exceptional Children,v83 n1 p92-110 Oct 2016,http://dx.doi.org/10.1177/0014402916660084,EJ1116305,83,1,92-110,42644,http://eric.ed.gov/?id=EJ1116305,"The purpose of this closely aligned conceptual replication study was to investigate the efficacy of a Tier 2 kindergarten mathematics intervention. The replication study differed from the initial randomized controlled trial on three important elements: geographical region, timing of the intervention, and instructional context of the counterfactual. Similar to the original investigation, however, the current study tested the same intervention, used the same outcome measures and statistical analyses, and involved the same population of learners. A total of 319 kindergarten students with mathematics difficulties from 36 kindergarten classrooms participated in the study. Students who were randomly assigned to the treatment condition received the intervention in small-group formats, with 2 or 5 students per group. Control students participated in a no-treatment control condition. Significant effects on proximal and distal measures of mathematics achievement were found. Effect sizes obtained for all measures fell within or exceeded the upper bound of the effects reported in the initial study. Implications for systematically situating replication studies in larger frameworks of intervention research and reporting rates of treatment response across replication studies are discussed.",,
Available,Peer Reviewed,70,ERIC,Early Number Skills Gains and Mathematics Achievement: Intervening to Establish Successful Early Mathematics Trajectories,"Shanley, Lina","Clarke, Ben","Doabler, Christian T.","Kurtz-Nelson, Evangeline","Fien, Hank",,,,,,Numbers,Mathematics Skills,Mathematics Achievement,At Risk Students,Kindergarten,Grade 1,Intervention,Elementary School Students,Skill Development,Comparative Analysis,Mathematics Instruction,Elementary School Mathematics,Experimental Groups,Control Groups,Achievement Tests,Standardized Tests,Pretests Posttests,Statistical Analysis,,,,,,,,,Journal of Special Education,v51 n3 p177-188 Nov 2017,http://dx.doi.org/10.1177/0022466917720455,EJ1158172,51,3,177-188,43040,http://eric.ed.gov/?id=EJ1158172,"Early number skills, comprised of both informal and formal skills, are associated with later mathematics achievement. Thus, the development of foundational early number skills is an important aspect of early mathematics instruction. This study explored relations between early number skills gains and mathematics achievement for students at risk for mathematics difficulties in a kindergarten intervention study. Results indicated strong relationships between formal number skills gains and mathematics achievement across kindergarten and Grade 1. Intervention participants demonstrated larger informal and formal early number skills gains compared with their control peers, and relations between early number skills gains and first-grade mathematics achievement were moderated by intervention participation. Importantly, these findings suggest that formal and informal number skills gains may be critical components of later mathematics achievement for at-risk students. Implications for special education and intervention in tiered instructional systems are discussed.",R324A120304,
,,71,ERIC,Examining the Impact of Group Size on the Treatment Intensity of a Tier 2 Mathematics Intervention,"Doabler, Christian T.","Clarke, Ben","Kosty, Derek","Kurtz-Nelson, Evangeline","Fien, Hank","Smolkowski, Keith","Baker, Scott K.",,,,Intervention,Program Effectiveness,Mathematics Instruction,Learning Problems,Kindergarten,Peer Teaching,Small Group Instruction,At Risk Students,Independent Study,Teaching Methods,Achievement Tests,,,,,,,,,,,,,,,,Grantee Submission,,http://dx.doi.org/10.1177/0022219418789376,ED601967,,,,2019,http://eric.ed.gov/?id=ED601967,"Group size and treatment intensity are understudied topics in mathematics intervention research. This study examined whether the treatment intensity and overall intervention effects of an empirically-validated Tier 2 mathematics intervention varied between intervention groups with 2:1 and 5:1 student-teacher ratios. Student practice opportunities and the quality of explicit instruction served as treatment intensity metrics. A total of 465 kindergarten students with mathematics difficulties from 136 intervention groups participated. Results suggested comparable performances between the 2:1 and 5:1 intervention groups on six outcome measures. Observation data indicated that the intensity of student practice opportunities differed by group size. Students in the 5:1 groups received more opportunities to practice with their peers, while students in the 2:1 groups participated in more frequent and higher quality individualized practice opportunities. Implications in terms of delivering Tier 2 interventions in small-group formats and engaging at-risk learners in meaningful practice opportunities are discussed. [This paper was published in ""Journal of Learning Disabilities"" v52 n2 p168-180 Mar 2019 (EJ1203634). The published article was titled ""Examining the Impact of Group Size on the Treatment Intensity of a Tier 2 Mathematics Intervention within a Systematic Framework of Replication.""]",R324A120304,
,,72,ERIC,The Effect of Eliciting Repair of Mathematics Explanations of Students with Learning Disabilities,"Liu, Jia","Xin, Yan Ping",,,,,,,,,Mathematical Logic,Learning Disabilities,Problem Solving,Mathematical Concepts,Mathematics Instruction,Barriers,Intervention,Communication Strategies,Program Effectiveness,Word Problems (Mathematics),Children,Intelligence Tests,Grade 4,Elementary School Students,Mathematics Tests,Pretests Posttests,,,,,,,,,,,Learning Disability Quarterly,v40 n3 p132-145 Aug 2017,http://dx.doi.org/10.1177/0731948716657496,EJ1148112,40,3,132-145,42948,http://eric.ed.gov/?id=EJ1148112,"Mathematical reasoning is important in conceptual understanding and problem solving. In current reform-based, discourse-oriented mathematics classrooms, students with learning disabilities (LD) encounter challenges articulating or explaining their reasoning processes. Enlightened by the concept of conversational repair borrowed from the field of linguistics, this study designed an intervention program to facilitate mathematical reasoning of students with LD. Conversational repair, an ability to repair communicative breakdowns or inaccuracies, was designed in an implicit-explicit continuum to elicit self-explanation from students with LD in the context of mathematics word problem solving. Using a multiple-baseline across participants design, the study found that the intervention was effective for improving students' mathematical reasoning and problem-solving ability measured by their self-explanation and word problem-solving performance. It provided implications for future studies concerning the use of conversational repair in mathematics classroom discourse for individuals with LD.",,
,,73,ERIC,The Effects of Problem-Posing Intervention Types on Elementary Students' Problem-Solving,"Kopparla, Mahati","Bicer, Ali","Vela, Katherine","Lee, Yujin","Bevan, Danielle","Kwon, Hyunkyung","Caldwell, Cassidy","Capraro, Mary M.","Capraro, Robert M.",,Elementary School Students,Intervention,Problem Solving,Elementary School Mathematics,Rural Schools,Mathematics Instruction,Grade 2,Grade 3,Grade 4,Grade 5,Elementary School Teachers,,,,,,,,,,,,,,,,Educational Studies,v45 n6 p708-725 2019,http://dx.doi.org/10.1080/03055698.2018.1509785,EJ1229148,45,6,708-725,2019,http://eric.ed.gov/?id=EJ1229148,"Problem posing is the act of creating one's own problems, unlike the traditional practice of solving problems posed by others. Problem posing is not a commonly taught topic. Though some students have difficulties acquiring problem-posing skills, the positive effects are far reaching. A quasi-experimental research design was used to determine the growth in problem-posing and -solving skills in a low socio-economic status rural elementary school. Teachers conducted mathematics learning centres daily while researchers conducted research-based intervention activities for 3 months. A short quiz was administered to students in grades 2-5 (N = 45) pre and post measuring problem-solving and problem-posing changes. A statistically significant difference (p < 0.05) was noted in both problem solving and problem posing. Results indicate that explicitly teaching problem posing in elementary classrooms is a worthwhile endeavour.",,
Available,Peer Reviewed,74,ERIC,Does Working Memory Moderate the Effects of Fraction Intervention? An Aptitude-Treatment Interaction,"Fuchs, Lynn S.","Schumacher, Robin F.","Sterba, Sonya K.","Long, Jessica","Namkung, Jessica","Malone, Amelia","Hamlett, Carol L.","Jordan, Nancy C.","Gersten, Russell","Siegler, Robert S.",Short Term Memory,Mathematics,Intervention,Mathematics Instruction,Aptitude Treatment Interaction,Individual Differences,Grade 4,At Risk Students,Pretests Posttests,Measurement,Elementary School Students,Elementary School Mathematics,,,,,,,,,,,,,,,Journal of Educational Psychology,v106 n2 p499-514 2014,http://dx.doi.org/10.1037/a0034341,ED552820,106,2,499-514,Journal of Educational Psychology 2014,http://eric.ed.gov/?id=ED552820,"This study investigated whether individual differences in working memory (WM) moderate effects of 2 variations of intervention designed to improve at-risk 4th graders' fraction knowledge. We also examined the effects of each intervention condition against a business-as-usual control group and assessed whether children's measurement interpretation of fractions mediated those effects. At-risk students (n = 243) were randomly assigned to control and 2 intervention conditions. The interventions each lasted 12 weeks, with three 30-min sessions per week. The major focus of both intervention conditions was the measurement interpretation of fractions. Across the 2 conditions, only 5 min of each 30-min session differed. One condition completed activities to build fluency with 4 measurement interpretation topics; in the other, activities were completed to consolidate understanding on the same 4 topics. Results revealed a significant aptitude--treatment interaction, in which students with very weak WM learned better with conceptual activities but children with more adequate (but still low) WM learned better with fluency activities. Both intervention conditions outperformed the control group on all outcomes, and improvement in the measurement interpretation of fractions mediated those effects.",,HD15052
,,75,ERIC,Does Evidence-Based Fractions Intervention Address the Needs of Very Low-Performing Students?,"Fuchs, Lynn S.","Sterba, Sonya K.","Fuchs, Douglas","Malone, Amelia S.",,,,,,,Grade 4,Fractions,Mathematics Instruction,Intervention,Low Achievement,Academic Ability,Program Effectiveness,Effect Size,Mathematics Skills,Randomized Controlled Trials,Comparative Analysis,Elementary School Mathematics,Achievement Gap,At Risk Students,Achievement Tests,Adults,Intelligence Tests,Pretests Posttests,Elementary School Students,,,,,,,,Journal of Research on Educational Effectiveness,v9 n4 p662-677 2016,http://dx.doi.org/10.1080/19345747.2015.1123336,EJ1115270,9,4,662-677,2016,http://eric.ed.gov/?id=EJ1115270,"The purpose of this set of analyses, conducted on a randomized control trial examining the effects of a fourth-grade fraction intervention, was to assess the initial academic deficit severity hypothesis. With this hypothesis, at-risk students with more severe initial academic deficits are expected to profit less from intervention than do students with less severe initial academic deficits. Moderation analyses indicated that students with varying degrees of initial academic deficits benefited comparably from the intervention, such that effect sizes comparing intervention against control students were similar across the range of initial academic deficits. In a similar way, across the range of initial academic deficits, intervention students' posttest (spring) calculation performance was normalized (one standard error of measurement above the 25th percentile of a not-at-risk normative group's spring performance). On the most distal fractions outcome, however, normalized performance was achieved for intervention students with less severe initial academic deficits. Findings are discussed in terms of methods for judging intervention efficacy and for making individual decisions about when students should exit intervention.",R324D130003,HD15052
,,76,ERIC,Catch up Numeracy: A Targeted Intervention for Children Who Are Low-Attaining in Mathematics,"Holmes, Wayne","Dowker, Ann",,,,,,,,,Mathematics,Mathematics Instruction,Intervention,Low Achievement,Numeracy,Special Needs Students,Mathematics Achievement,Foreign Countries,Elementary School Mathematics,Elementary School Students,Statistical Analysis,Control Groups,Difficulty Level,,,,,,,,,,,,,,Research in Mathematics Education,v15 n3 p249-265 2013,http://dx.doi.org/10.1080/14794802.2013.803779,EJ1090390,15,3,249-265,2013,http://eric.ed.gov/?id=EJ1090390,"Many children who would not be identified as having special educational needs are low-attaining in mathematics, which often has a severe impact on their progress at school and their successes in later life. This paper describes Catch Up Numeracy, a non-intensive targeted intervention for children who are low-attaining in mathematics, which is delivered by classroom assistants in only thirty minutes per week. Data for 440 children, including controls, show that children receiving Catch Up Numeracy intervention attained average gains more than twice that expected of typically attaining children, and more than twice that attained by children receiving non-targeted mathematics support. The evidence suggests that Catch Up Numeracy is effective for children who are low-attaining in mathematics. More generally, it supports the view that many children's arithmetical difficulties are highly susceptible to intervention, and that the intervention does not need to be intensive or delivered by highly-trained teachers to be effective.",,
,,77,ERIC,Effects of Mathematics Computer Games on Special Education Students' Multiplicative Reasoning Ability,"Bakker, Marjoke","van den Heuvel-Panhuizen, Marja","Robitzsch, Alexander",,,,,,,,Mathematics Instruction,Computer Games,Elementary School Students,Control Groups,Thinking Skills,Mathematics Skills,Special Education,Experimental Groups,Intervention,Outcomes of Education,Teaching Methods,Pretests Posttests,,,,,,,,,,,,,,,British Journal of Educational Technology,v47 n4 p633-648 Jul 2016,http://dx.doi.org/10.1111/bjet.12249,EJ1103676,47,4,633-648,42552,http://eric.ed.gov/?id=EJ1103676,"This study examined the effects of a teacher-delivered intervention with online mathematics mini-games on special education students' multiplicative reasoning ability (multiplication and division). The games involved declarative, procedural, as well as conceptual knowledge of multiplicative relations, and were accompanied with teacher-led lessons and class discussions. A pretest-posttest control-group design was employed, with 81 students from five schools for special primary education (three experimental schools and two control schools). The intervention consisted of two 10-week game periods in which a total of 16 mini-games were offered as part of the regular educational program for multiplicative reasoning. The control group students played non-multiplicative mini-games; for multiplicative reasoning, they followed their regular educational program without mini-games. In both groups, students' multiplicative reasoning ability significantly increased. Regarding declarative knowledge of multiplication facts, learning outcomes were significantly higher in the experimental group as compared with the control group. This finding indicates the usefulness of mini-games for enhancing special education students' mathematics fact knowledge. Learning outcomes on a test measuring procedural and conceptual knowledge of multiplicative reasoning did not differ between experimental and control group. For these learning outcomes, then, the mini-games intervention did not have added value but can still be considered a ""safe"" alternative approach.",,
,,78,ERIC,Primary School Teachers Implementing Structured Mathematics Interventions to Promote Their Mathematics Knowledge for Teaching Proportional Reasoning,"Hilton, Annette","Hilton, Geoff",,,,,,,,,Mathematical Logic,Mathematics Instruction,Teaching Methods,Elementary School Teachers,Faculty Development,Intervention,Program Effectiveness,Pedagogical Content Knowledge,Grade 3,Grade 4,Grade 5,Teacher Researchers,Educational Research,,,,,,,,,,,,,,Journal of Mathematics Teacher Education,v22 n6 p545-574 Dec 2019,http://dx.doi.org/10.1007/s10857-018-9405-7,EJ1233828,22,6,545-574,43800,http://eric.ed.gov/?id=EJ1233828,"Proportional reasoning is the ability to use multiplicative thinking and make multiple comparisons. It is known to be challenging for many students and at the same time, many teachers require support to develop sufficient subject matter knowledge and pedagogical content knowledge to teach the diverse concepts that underpin proportional reasoning. The data reported in this paper are drawn from the first year of a broader study aiming to promote the teaching and learning of elements of proportional reasoning across the curriculum by engaging primary school teachers in ongoing professional development that includes the implementation of a series of mathematics interventions, each of which included a research component. This paper focuses on the impact of implementing the interventions on the teachers' mathematical knowledge for teaching. Three structured interventions were implemented by eight teachers (Years 3, 4, 5) during each of three school terms. Data collected showed that engaging in this scaffolded type of practitioner research, the structured nature of the interventions, and reflection on the outcomes of each intervention promoted teachers' subject matter knowledge and pedagogical content knowledge.",,
,,79,ERIC,The Effects of Teaching Mental Calculation in the Development of Mathematical Abilities,"Ruiz, Carola","Balbi, Alejandra",,,,,,,,,Mental Computation,Mathematics Instruction,Mathematics Skills,Foreign Countries,Grade 2,Elementary School Students,Intervention,Evidence Based Practice,Instructional Effectiveness,,,,,,,,,,,,,,,,,,Journal of Educational Research,v112 n3 p315-326 2019,http://dx.doi.org/10.1080/00220671.2018.1519689,EJ1214640,112,3,315-326,2019,http://eric.ed.gov/?id=EJ1214640,"Many countries include mental calculation within their curriculum, as the literature shows benefits related to it. However, evidence mainly focuses on the effects of teaching mental calculation on computational fluency. Therefore, the authors aimed to assess the effects of teaching mental calculation on double-digit computation, number line estimation, and computational fluency. Fifty second-grade students from a Uruguayan private school were randomly assigned to a control or treatment condition (n = 25 each). The treatment group participated in 15 sessions of mental calculation intervention, while the control group received ""teaching as usual."" Assessment took place before and after the intervention. The authors found no significant impact of the treatment on the mathematical outcome variables. The results are explained in the context of the available literature and the methodological decisions taken. From a perspective of evidence-based teaching practices, the present study contributes to a better understanding of effective instructional principles.",,
,,80,ERIC,Selecting Effective Interventions to Increase Math Computation Fluency via Brief Experimental Analyses,"Reisener, Carmen D.","Dufrene, Brad A.","Clark, Chelsi R.","Olmi, D. Joe","Tingstrom, Daniel H.",,,,,,Response to Intervention,Intervention,Elementary School Students,Middle School Students,Mathematics Instruction,Mathematics Achievement,Program Effectiveness,Computation,Mathematics Skills,Achievement Gains,,,,,,,,,,,,,,,,,Psychology in the Schools,v53 n1 p39-57 Jan 2016,http://dx.doi.org/10.1002/pits.21887,EJ1084547,53,1,39-57,42370,http://eric.ed.gov/?id=EJ1084547,"In a response to intervention RtI paradigm, the use of brief experimental analyses (BEAs) for identifying effective interventions for elementary and middle school students struggling with math is a relatively new area of research. This investigation includes two studies, both of which employed a brief multielement design and an extended analysis to evaluate the effects of a variety of empirically supported math computation fluency interventions. Results indicated variability within and across the participants in response to the empirically supported interventions. Visual analysis of the data indicated that all students responded favorably to at least one intervention during the BEA. Additionally, all students demonstrated continued performance improvements during extended analyses and an intervention phase when the indicated intervention was implemented in isolation. Thus, this investigation supports the use of BEAs in identifying effective interventions for students struggling with mathematics computation fluency.",,
,,81,ERIC,What We Are Learning about Mathematics Interventions and Conducting Research on Mathematics Interventions,"Gersten, Russell",,,,,,,,,,Mathematics Instruction,Elementary School Mathematics,Preschool Education,Intervention,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Small Group Instruction,Alignment (Education),Core Curriculum,State Standards,Attention Deficit Disorders,,,,,,,,,,,,,Journal of Research on Educational Effectiveness,v9 n4 p684-688 2016,http://dx.doi.org/10.1080/19345747.2016.1212631,EJ1115272,9,4,684-688,2016,http://eric.ed.gov/?id=EJ1115272,"In this commentary, the author reflects on four studies that have greatly expanded the knowledge base on effective interventions in mathematics, and he provides four rigorous experimental studies of approaches for students likely to experience difficulties learning mathematics over a large grade-level span (pre-K to 4th grade). All of the interventions appear to be implemented with care and rigor, and data were analyzed using state-of-the-art techniques. The studies all demonstrated positive, statistically significant effects on measures aligned with the instructional goals of the intervention curriculum--what authors tend to call ""proximal measures."" The finding suggests that not only students who score close to benchmark levels, but even the lowest-performing students in mathematics, do benefit from a well-designed Tier 2 mathematics intervention covering difficult topics in the grade-level curriculum. This is an important finding, given finite money and resources.",,
,,82,ERIC,The Role of Teacher Training in Cognitive Strategy Instruction to Improve Math Problem Solving,"Krawec, Jennifer","Montague, Marjorie",,,,,,,,,Mathematics Instruction,Problem Solving,Middle School Students,Student Improvement,Learning Disabilities,Grade 7,Grade 8,Middle School Teachers,Intervention,Teacher Education,Teacher Effectiveness,Faculty Development,Learning Strategies,,,,,,,,,,,,,,Learning Disabilities Research & Practice,v29 n3 p126-134 Aug 2014,http://dx.doi.org/10.1111/ldrp.12034,EJ1035646,29,3,126-134,41852,http://eric.ed.gov/?id=EJ1035646,"The purpose of this article is to offer teacher training and professional development recommendations in mathematics based on the findings of a federally funded 3-year intervention study that improved the problem solving of middle school students with a focus on students with learning disabilities. Over the 3-year project, 29 seventh and eighth grade teachers implemented a problem-solving intervention based on cognitive strategy instruction. Though the intervention was successful in improving students' problem-solving performance, several issues related to teaching effectiveness and teacher training came to light. The article will: (1) describe the intervention and its implementation, (2) present the findings of the study, and (3) discuss the issues of effectiveness and possible solutions via teacher education and professional development.",R324A070206,
,,83,ERIC,Combined Fluency and Cognitive Strategies Instruction Improves Mathematics Achievement in Early Elementary School,"Carr, Martha","Taasoobshirazi, Gita","Stroud, Rena","Royer, James M.",,,,,,,Mathematics Achievement,Elementary School Mathematics,Grade 2,Elementary School Students,Subtraction,Addition,Learning Strategies,Mathematics Instruction,Computer Assisted Instruction,Intervention,Gender Differences,,,,,,,,,,,,,,,,Contemporary Educational Psychology,v36 n4 p323-333 Oct 2011,http://dx.doi.org/10.1016/j.cedpsych.2011.04.002,EJ939601,36,4,323-333,40817,http://eric.ed.gov/?id=EJ939601,"One hundred and seventy-eight second grade students from two states (Georgia and Massachusetts) participated in an experiment in which they were randomly assigned to either (1) a computer program designed to increase fluency in addition and subtraction, (2) a program designed to improve cognitive strategy use for addition and subtraction, (3) a program that combined the fluency and cognitive strategy instruction programs or (4) a control condition. The intervention consisted of 40 half-hour sessions (2 sessions per week for 20 weeks). Prior to the intervention, and immediately following the intervention, the participants were tested on fluency, cognitive strategy use, and mathematics achievement. ANCOVAs indicated that children in the combined fluency and cognitive strategy use condition significantly improved their mathematics achievement in comparison to the control group. When we examined the impact of the intervention as a function of gender, boys appeared to benefit from the intervention, but girls did not. (Contains 3 tables.)",,
,,84,ERIC,Diverse Needs of Students with Learning Disabilities: A Case Study of Tutoring Two Students in Algebra,"Hord, Casey","Marita, Samantha","Ayaz, Salma","Tomaro, Taylor-Marie","Gordon, Kiyana","Tunningley, Joan","Haskins, Shelby",,,,Algebra,Student Needs,Learning Disabilities,Tutoring,Grade 8,Mathematics Instruction,Intervention,Teaching Methods,,,,,,,,,,,,,,,,,,,Journal of Research in Special Educational Needs,v18 suppl 1 p25-35 Dec 2018,http://dx.doi.org/10.1111/1471-3802.12415,EJ1199205,18,25-35,,suppl Dec 2018,http://eric.ed.gov/?id=EJ1199205,"In this exploratory case study, the researchers conducted a descriptive, qualitative microanalysis of the tutoring of two eighth grade students with learning disabilities while solving algebra problems. The researchers analyzed the participants' problem solving tendencies and interventions that helped the students succeed. One of the students, Nicole, demonstrated considerable capability at supporting her memory and processing by carefully and neatly writing out her steps for solving equations on paper. The other participant, Rachel, struggled at times to organize her thinking processes on paper and solve equations due to poor handwriting legibility, math anxiety and issues of confidence as a learner of mathematics that all seemed to be inter-related. Both students demonstrated success with solving algebra equations, but Rachel required intensive intervention for addressing her difficulties with math anxiety and visual-motor integration, while Nicole mostly required mathematics instruction designed to capitalise on her success at creating useful visual representations of her thought processes.",,
,,85,ERIC,Realizing Transformative Agency and Student Identity: Meaningful Practical Activity Based Formative Intervention at Grade Eight,"Gade, Sharada","Forsgren, Tomas L.",,,,,,,,,Self Concept,Transformative Learning,Teacher Student Relationship,Help Seeking,Mathematics Instruction,Intervention,Grade 8,Secondary School Students,Peer Relationship,Teaching Methods,Foreign Countries,Learning Activities,Formative Evaluation,,,,,,,,,,,,,,Cultural Studies of Science Education,v14 n4 p897-914 Dec 2019,http://dx.doi.org/10.1007/s11422-018-9907-8,EJ1236510,14,4,897-914,43800,http://eric.ed.gov/?id=EJ1236510,"Cultural historical activity theory perspectives are drawn in this paper to realize collective transformative agency and the externalization of individual student identity, with students seeking personalized assistance from their teacher while learning mathematics at a grade eight classroom in Sweden. Even as teacher-researcher collaboration and the execution of a five-task formative intervention resulted in realization of transformative agency, the externalization of identity gained from students working with peers and being led in instructional activity that was practical and meaningful to their lives. While the externalization of identity by individual students during their learning resulted in transformative agency realized at the collective level in their teacher's instructional practice, the role of knowledge within such a practice was found to be just as vital in line with the construct of Transformative Activist Stance.",,
Available,Peer Reviewed,86,ERIC,Remediating Difficulty with Fractions for Students with Mathematics Learning Difficulties,"Namkung, Jessica","Fuchs, Lynn",Mathematics Instruction,,,,,,,,Mathematics Instruction,Fractions,Teaching Methods,Learning Problems,Difficulty Level,Elementary School Mathematics,Elementary School Students,Word Problems (Mathematics),Problem Solving,Multiplication,Intervention,Mathematics Skills,,,,,,,,,,,,,,,Learning Disabilities: A Multidisciplinary Journal,v24 n2 p36-48 2019,https://doi.org/10.18666/LDMJ-2019-V24-I2-9902,ED598359,24,2,36-48,Learning Disabilities: Multidisciplinary Journal 2019,http://eric.ed.gov/?id=ED598359,"Competence with fractions is foundational to acquiring more advanced mathematical skills. However, achieving competency with fractions is challenging for many students, especially for those with mathematics learning difficulties who often lack foundational skill with whole numbers. Teaching fractions is also challenging for many teachers as they often experience gaps in their own fractions knowledge. In this article, the authors explain the sources of difficulty when learning and teaching fractions. Then, the authors describe effective instructional strategies for teaching fractions, derived from three randomized control trials. Implications for practice are discussed.",R324C100004,HD15052
,,87,ERIC,A Case Study Using CRA to Teach Students with Disabilities to Count Using Flexible Numbers: Applying Skip Counting to Multiplication,"Gibbs, Anna S.","Hinton, Vanessa M.","Flores, Margaret M.",,,,,,,,Mathematics Instruction,Case Studies,Disabilities,Computation,Multiplication,At Risk Students,Sequential Approach,Elementary School Students,Elementary School Mathematics,Grade 3,Grade 4,Mathematics Tests,Pretests Posttests,Intervention,Statistical Analysis,,,,,,,,,,,,Preventing School Failure,v62 n1 p49-57 2018,http://dx.doi.org/10.1080/1045988X.2017.1342218,EJ1161665,62,1,49-57,2018,http://eric.ed.gov/?id=EJ1161665,Children who struggle in mathematics have a limited understanding of the foundational processes of mathematics. A lack of conceptual understanding causes students to fall behind as they progress through the core curriculum. Children at high risk for developing mathematics disabilities fail to gain numeracy knowledge. The purpose of this case study was to investigate the effects of an explicit mathematics intervention using concrete-representational-abstract sequence to teach students to count in flexible ways and use skip counting as a strategy for multiplication for students with mathematics difficulties. Students were able to learn skip counting and improved in their multiplication abilities. Implications are also discussed.,,
